PointType,Index,T,X,Y,Curvature
spline,212,21.2,13.9961508363,-28.7371395897,-0.0436355240904
spline,213,21.3,13.6553336678,-28.7891275674,-0.0469476559083
spline,214,21.4,13.3135387601,-28.8356152284,-0.0502628197961
spline,215,21.5,12.9708036895,-28.876190788,-0.053571408125
spline,216,21.6,12.6271589821,-28.9104428236,-0.0568609010251
spline,217,21.7,12.28263526,-28.9379601231,-0.0601156588215
spline,218,21.8,11.9372696606,-28.9583304205,-0.0633167120928
spline,219,21.9,11.5910795056,-28.9711433355,-0.0664420866867
spline,220,22,11.2441022562,-28.9759874211,-0.0694666315876
spline,221,22.1,10.8963443315,-28.9724918084,-0.0703138645863
spline,222,22.2,10.5477151772,-28.9604467972,-0.0709260657477
spline,223,22.3,10.1981067514,-28.9396832871,-0.0712952087364
spline,224,22.4,9.84739076769,-28.9100310843,-0.0714166002331
spline,225,22.5,9.49545956473,-28.8713218793,-0.071289103427
spline,226,22.6,9.14219834397,-28.8233863157,-0.0709153249736
spline,227,22.7,8.78749237662,-28.7660552456,-0.0703015215702
spline,228,22.8,8.43123375679,-28.6991602131,-0.0694573252862
spline,229,22.9,8.07329403489,-28.6225295352,-0.0683955160176
spline,230,23,7.71356549749,-28.5359955103,-0.0671318251134
spline,231,23.1,7.35203712491,-28.4394538488,-0.0643549068115
spline,232,23.2,6.98911259372,-28.3330594726,-0.0619555070925
spline,233,23.3,6.62530630623,-28.2170342814,-0.0599017135105
spline,234,23.4,6.26111156228,-28.0915935276,-0.0581658855621
spline,235,23.5,5.89704303891,-27.9569598837,-0.0567246339698
spline,236,23.6,5.53360807842,-27.8133531189,-0.0555583768453
spline,237,23.7,5.1713140675,-27.6609932045,-0.0546510208674
spline,238,23.8,4.810675363,-27.5001026756,-0.0539896123311
spline,239,23.9,4.45218544319,-27.330895335,-0.0535641564518
spline,240,24,4.09635880172,-27.15359444,-0.053367543638
spline,241,24.1,3.74365106854,-26.9683569985,-0.0544982824951
spline,242,24.2,3.39431073247,-26.7750879284,-0.0555928572039
spline,243,24.3,3.04854117675,-26.5736329627,-0.0566432681032
spline,244,24.4,2.70652575712,-26.3638262339,-0.057641141413
spline,245,24.5,2.36846808964,-26.145514232,-0.0585777722507
spline,246,24.6,2.03456486354,-25.9185388899,-0.0594443801657
spline,247,24.7,1.70501278864,-25.6827423292,-0.0602321930399
spline,248,24.8,1.38001490284,-25.4379709426,-0.0609324912423
spline,249,24.9,1.05975538101,-25.1840574552,-0.0615369218329
spline,250,25,0.744437342024,-24.9208488903,-0.0620376592634
spline,251,25.1,0.434212274491,-24.648525347,-0.0527537365743
spline,252,25.2,0.129050702673,-24.3686185953,-0.044141825282
spline,253,25.3,-0.171116291514,-24.0830037818,-0.0360322910929
spline,254,25.4,-0.466375008168,-23.7935395443,-0.028248756252
spline,255,25.5,-0.756794223463,-23.502101789,-0.0206065138664
spline,256,25.6,-1.04244867183,-23.2105602301,-0.0129061670186
spline,257,25.7,-1.32341308993,-22.9207847567,-0.00492488406109
spline,258,25.8,-1.59975677151,-22.6346503023,0.00359592064501
spline,259,25.9,-1.87156511074,-22.3540157115,0.0129684099229
spline,260,26,-2.13890741153,-22.0807566983,0.0235809787074
spline,261,26.1,-2.40185724493,-21.8163634439,0.0236574065155
spline,262,26.2,-2.66048356678,-21.5608070758,0.0235980353351
spline,263,26.3,-2.91484924769,-21.3136835525,0.0233852558851
spline,264,26.4,-3.16503190722,-21.0745747248,0.0230007437455
spline,265,26.5,-3.41109438622,-20.8430774489,0.0224257755996
spline,266,26.6,-3.65310450651,-20.6187831111,0.0216415643321
spline,267,26.7,-3.89113011244,-20.4012832582,0.0206295359879
spline,268,26.8,-4.12523436905,-20.1901730425,0.0193716587581
spline,269,26.9,-4.35549415218,-19.9850358969,0.0178508615567
spline,270,27,-4.5819727264,-19.7854677194,0.0160517260357
spline,271,27.1,-4.80484490356,-19.5911939981,0.0260816988329
spline,272,27.2,-5.02471338637,-19.4024758034,0.0370329628601
spline,273,27.3,-5.2422835983,-19.2197114763,0.0488932974149
spline,274,27.4,-5.45827360261,-19.0432889361,0.0616185166687
spline,275,27.5,-5.67338891984,-18.8736073039,0.0751196695421
spline,276,27.6,-5.88833924648,-18.7110615677,0.0892514263595
spline,277,27.7,-6.10383432119,-18.5560468612,0.103799499909
spline,278,27.8,-6.32057944575,-18.408960692,0.118470487166
spline,279,27.9,-6.53929270662,-18.2701925293,0.132889171677
spline,280,28,-6.76067967496,-18.1401406123,0.1466024357
spline,281,28.1,-6.98537514774,-18.0191156768,0.149076716611
spline,282,28.2,-7.21371415989,-17.9070907098,0.15027586318
spline,283,28.3,-7.44595219341,-17.8039560673,0.15015488895
spline,284,28.4,-7.68235831105,-17.7095963378,0.148718517352
spline,285,28.5,-7.92318827123,-17.6239026445,0.14602094017
spline,286,28.6,-8.16870219311,-17.5467635614,0.142161178136
spline,287,28.7,-8.41916025825,-17.4780677997,0.13727509146
spline,288,28.8,-8.67481735305,-17.4177047582,0.131525140832
spline,289,28.9,-8.93594351454,-17.3655608349,0.125088497225
spline,290,29,-9.20279405163,-17.3215261448,0.118146418464
spline,291,29.1,-9.47538749152,-17.2855363212,0.112916807528
spline,292,29.2,-9.75277574467,-17.2577145573,0.10955172564
spline,293,29.3,-10.0337634975,-17.2382311205,0.107852426504
spline,294,29.4,-10.3171718853,-17.2272553554,0.107699871748
spline,295,29.5,-10.6018059251,-17.2249582555,0.109042893069
spline,296,29.6,-10.8864759059,-17.2315099313,0.111891060794
spline,297,29.7,-11.1699921957,-17.2470806278,0.116312094957
spline,298,29.8,-11.4511593632,-17.2718395966,0.122432258636
spline,299,29.9,-11.7287986529,-17.3059580447,0.13043986581
spline,300,30,-12.0017150007,-17.3496059661,0.140589326471
spline,301,30.1,-12.2689219719,-17.4028451633,0.140252914742
